description,polarity,subjectivity,polarity2,subjectivity2
"[('arrested', 'three', 'people'), ('three', 'people', 'thursday'), ('people', 'thursday', 'connection'), ('thursday', 'connection', 'death'), ('connection', 'death', 'everett'), ('death', 'everett', 'news'), ('everett', 'news', 'release'), ('news', 'release', '33'), ('release', '33', 'year'), ('33', 'year', 'old'), ('year', 'old', 'everett'), ('old', 'everett', 'woman'), ('everett', 'woman', 'man')]",0.10000000000000002,0.20000000000000004,positive,objective
"[('bjorn', 'sarmiento', 'arrived'), ('sarmiento', 'arrived', 'redmond'), ('arrived', 'redmond', 'transit'), ('redmond', 'transit', 'center'), ('transit', 'center', 'north'), ('center', 'north', 'jan'), ('north', 'jan', '16'), ('jan', '16', 'friend'), ('16', 'friend', 'excited'), ('friend', 'excited', 'spend'), ('excited', 'spend', 'another'), ('spend', 'another', 'day'), ('another', 'day', 'skateboarding')]",0.13749999999999998,0.425,positive,objective
"[('young', 'jun', 'lim'), ('jun', 'lim', 'one'), ('lim', 'one', 'three'), ('one', 'three', 'additional'), ('three', 'additional', 'cop'), ('additional', 'cop', 'seeing'), ('cop', 'seeing', 'recruiting'), ('seeing', 'recruiting', 'brochure')]",0.1,0.4,positive,objective
"[('focus', 'emergency', 'preparedness'), ('emergency', 'preparedness', 'readiness'), ('preparedness', 'readiness', 'ensure'), ('readiness', 'ensure', 'neighbor'), ('ensure', 'neighbor', 'know'), ('neighbor', 'know', 'take'), ('know', 'take', 'care'), ('take', 'care', 'connect'), ('care', 'connect', 'local'), ('connect', 'local', 'fire'), ('local', 'fire', 'medical'), ('fire', 'medical', 'resource')]",0.0,0.0,neutral,objective
"[('june', '2017', 'kent'), ('2017', 'kent', 'shot'), ('kent', 'shot', 'giovonn'), ('shot', 'giovonn', 'joseph'), ('giovonn', 'joseph', 'mcdade'), ('joseph', 'mcdade', '20'), ('mcdade', '20', 'already'), ('20', 'already', 'begun')]",0.0,0.0,neutral,objective
"[('one', 'person', 'detained'), ('person', 'detained', 'questioned'), ('detained', 'questioned', 'arrest'), ('questioned', 'arrest', 'asked'), ('arrest', 'asked', 'anybody'), ('asked', 'anybody', 'information'), ('anybody', 'information', 'homicide'), ('information', 'homicide', 'tip'), ('homicide', 'tip', 'line')]",-0.05000000000000001,0.0,negative,objective
"[('notably', 'several', 'collision'), ('several', 'collision', 'report'), ('collision', 'report', 'coded'), ('report', 'coded', 'enough'), ('coded', 'enough', 'information'), ('enough', 'information', 'dataset'), ('information', 'dataset', 'team'), ('dataset', 'team', 'working')]",0.0,0.3,neutral,objective
"[('drug', 'purchased', 'employee'), ('purchased', 'employee', 'drug'), ('employee', 'drug', 'dealer'), ('drug', 'dealer', 'introduced'), ('dealer', 'introduced', 'undercover'), ('introduced', 'undercover', 'employee'), ('undercover', 'employee', 'seized'), ('employee', 'seized', '829')]",0.0,0.0,neutral,objective
"[('photo', 'courtesy', 'layoff'), ('courtesy', 'layoff', 'todd'), ('layoff', 'todd', 'herman'), ('todd', 'herman', 'todd'), ('herman', 'todd', 'herman'), ('todd', 'herman', 'show'), ('herman', 'show', 'note'), ('show', 'note', '7'), ('note', '7', '9'), ('7', '9', '2021'), ('9', '2021', 'interim'), ('2021', 'interim', 'chief'), ('interim', 'chief', 'adrian'), ('chief', 'adrian', 'diaz')]",0.0,0.0,neutral,objective
"[('public', 'utility', 'traffic'), ('utility', 'traffic', 'enforcement'), ('traffic', 'enforcement', 'showed'), ('enforcement', 'showed', 'monday'), ('showed', 'monday', 'morning'), ('monday', 'morning', 'camp'), ('morning', 'camp', 'growing'), ('camp', 'growing', 'size')]",0.0,0.06666666666666667,neutral,objective
"[('analysis', 'drawn', 'incident'), ('drawn', 'incident', 'report'), ('incident', 'report', 'filed'), ('report', 'filed', 'since'), ('filed', 'since', '2008'), ('since', '2008', 'response'), ('2008', 'response', 'cataloged'), ('response', 'cataloged', 'beat'), ('cataloged', 'beat', '17'), ('beat', '17', 'geographic'), ('17', 'geographic', 'designation')]",0.0,0.0,neutral,objective
"[('west', 'valley', 'city'), ('valley', 'city', 'investigating'), ('city', 'investigating', '2009'), ('investigating', '2009', 'disappearance'), ('2009', 'disappearance', 'susan'), ('disappearance', 'susan', 'cox'), ('susan', 'cox', 'powell'), ('cox', 'powell', 'exhausted'), ('powell', 'exhausted', 'nearly'), ('exhausted', 'nearly', 'conventional'), ('nearly', 'conventional', 'tactic'), ('conventional', 'tactic', 'success')]",-0.18979591836734694,0.4530612244897959,negative,objective
"[('spokesman', 'martin', 'halweg'), ('martin', 'halweg', 'friday'), ('halweg', 'friday', 'painting'), ('friday', 'painting', 'seized'), ('painting', 'seized', 'auction'), ('seized', 'auction', 'house'), ('auction', 'house', 'german'), ('house', 'german', 'capital'), ('german', 'capital', 'berlin'), ('capital', 'berlin', 'received')]",0.0,0.0,neutral,objective
"[('also', 'paid', '700'), ('paid', '700', 'exchange'), ('700', 'exchange', 'help'), ('exchange', 'help', 'norman'), ('help', 'norman', 'norman'), ('norman', 'norman', 'criticized'), ('norman', 'criticized', 'investigation')]",0.0,0.0,neutral,objective
"[('contacted', 'mother', 'remained'), ('mother', 'remained', 'missing'), ('remained', 'missing', 'day'), ('missing', 'day', 'later'), ('day', 'later', '21'), ('later', '21', 'daybreak'), ('21', 'daybreak', 'star'), ('daybreak', 'star', 'indian'), ('star', 'indian', 'cultural'), ('indian', 'cultural', 'center'), ('cultural', 'center', 'wsp')]",-0.04545454545454546,0.05909090909090908,negative,objective
"[('lynwood', 'received', 'support'), ('received', 'support', 'edmonds'), ('support', 'edmonds', 'everett'), ('edmonds', 'everett', 'search'), ('everett', 'search', 'suspect'), ('search', 'suspect', 'cox'), ('suspect', 'cox', 'medium'), ('cox', 'medium', 'group')]",0.0,0.0,neutral,objective
"[('renton', 'told', 'kiro'), ('told', 'kiro', '7'), ('kiro', '7', 'monday'), ('7', 'monday', 'arrest'), ('monday', 'arrest', 'additional'), ('arrest', 'additional', 'detail'), ('additional', 'detail', 'would'), ('detail', 'would', 'released'), ('would', 'released', 'yet'), ('released', 'yet', 'avoid'), ('yet', 'avoid', 'jeopardizing')]",-0.05000000000000001,0.0,negative,objective
"[('teacher', 'arrested', 'kicking'), ('arrested', 'kicking', '7'), ('kicking', '7', 'year'), ('7', 'year', 'old'), ('year', 'old', 'student'), ('old', 'student', 'disability'), ('student', 'disability', 'acting'), ('disability', 'acting', 'class'), ('acting', 'class', 'according'), ('class', 'according', 'blaine')]",0.05000000000000001,0.10000000000000002,negative,objective
"[('working', 'ocean', 'shore'), ('ocean', 'shore', '14'), ('shore', '14', 'year'), ('14', 'year', 'sgt'), ('year', 'sgt', 'kyle'), ('sgt', 'kyle', 'watson'), ('kyle', 'watson', 'responded'), ('watson', 'responded', 'kind'), ('responded', 'kind', 'call'), ('kind', 'call', 'help')]",0.6,0.9,positive,subjective
"[('anyone', 'information', 'arson'), ('information', 'arson', 'potential'), ('arson', 'potential', 'suspect'), ('potential', 'suspect', 'asked'), ('suspect', 'asked', 'everett'), ('asked', 'everett', 'tip'), ('everett', 'tip', 'line'), ('tip', 'line', '425'), ('line', '425', '257'), ('425', '257', '8450'), ('257', '8450', 'crime'), ('8450', 'crime', 'stopper')]",0.0,1.0,neutral,subjective
"[('one', 'proposal', 'would'), ('proposal', 'would', 'set'), ('would', 'set', 'area'), ('set', 'area', 'would'), ('area', 'would', 'enforce'), ('would', 'enforce', 'homelessness'), ('enforce', 'homelessness', 'camping'), ('homelessness', 'camping', 'regulation'), ('camping', 'regulation', 'strictly'), ('regulation', 'strictly', 'group'), ('strictly', 'group', 'safe')]",0.5,0.5,positive,subjective
"[('however', 'becoming', 'uncommon'), ('becoming', 'uncommon', 'issue'), ('uncommon', 'issue', 'ticket'), ('issue', 'ticket', 'jaywalking'), ('ticket', 'jaywalking', '2010'), ('jaywalking', '2010', '2017'), ('2010', '2017', 'issued'), ('2017', 'issued', '1'), ('issued', '1', '753'), ('1', '753', 'citation'), ('753', 'citation', 'total')]",0.5499999999999999,0.9083333333333333,positive,subjective
"[('someone', 'littered', 'multiple'), ('littered', 'multiple', 'west'), ('multiple', 'west', 'neighborhood'), ('west', 'neighborhood', 'overnight'), ('neighborhood', 'overnight', 'flyer'), ('overnight', 'flyer', 'one'), ('flyer', 'one', 'finder'), ('one', 'finder', 'reported'), ('finder', 'reported', 'tell'), ('reported', 'tell', 'wsb'), ('tell', 'wsb', 'coming'), ('wsb', 'coming', 'pick')]",0.0,0.0,neutral,objective
